City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,26.18,76,90,0.89,US,1629912860
Esperance,-33.8667,121.9,12.91,49,86,8.94,AU,1629912860
Qaanaaq,77.484,-69.3632,4.72,85,100,4.78,GL,1629912861
Cape Town,-33.9258,18.4232,14.51,82,0,0.89,ZA,1629912861
Mehrān,33.1222,46.1646,36.71,9,0,4.29,IR,1629912861
Pampa,35.5362,-100.9599,36.22,40,1,5.14,US,1629912646
Brae,60.3964,-1.353,12.95,80,62,5.83,GB,1629912862
Butaritari,3.0707,172.7902,28.5,70,100,7.14,KI,1629912862
Arrondissement d'Ajaccio,42.0,8.9167,25.27,73,0,2.57,FR,1629912862
Bonthe,7.5264,-12.505,24.39,92,100,2.77,SL,1629912862
Iqaluit,63.7506,-68.5145,6.85,81,75,3.6,CA,1629912613
Smithers,54.7804,-127.1743,11.18,76,75,1.54,CA,1629912793
Punta Arenas,-53.15,-70.9167,5.06,70,75,7.72,CL,1629912863
Bariloche,-41.1456,-71.3082,5.86,75,75,13.38,AR,1629912628
Ushuaia,-54.8,-68.3,3.81,52,0,0.0,AR,1629912835
Hobart,-42.8794,147.3294,6.92,86,40,4.12,AU,1629912864
Boende,-0.2167,20.8667,26.69,62,19,0.86,CD,1629912864
Busselton,-33.65,115.3333,11.69,84,30,3.87,AU,1629912864
Carnarvon,-24.8667,113.6333,19.04,79,40,7.72,AU,1629912864
Geraldton,-28.7667,114.6,13.23,94,90,3.09,AU,1629912865
Dikson,73.5069,80.5464,3.25,87,100,8.3,RU,1629912865
Havøysund,70.9963,24.6622,12.49,72,31,3.18,NO,1629912865
San Jerónimo,-11.9472,-75.2829,18.55,25,90,0.84,PE,1629912866
San Andrés,12.5847,-81.7006,30.01,79,75,6.69,CO,1629912866
Nisibis,37.0778,41.2178,32.3,19,0,2.83,TR,1629912866
Salalah,17.0151,54.0924,26.05,89,90,3.09,OM,1629912867
Flinders,-34.5833,150.8552,11.77,66,72,1.79,AU,1629912867
Vaini,-21.2,-175.2,19.09,72,40,4.12,TO,1629912867
Thinadhoo,0.5333,72.9333,28.07,75,46,5.25,MV,1629912868
Atuona,-9.8,-139.0333,25.33,74,63,8.93,PF,1629912868
Kumul,42.8,93.45,24.62,19,17,3.13,CN,1629912868
Saiha,22.4833,92.9667,22.45,100,100,0.7,IN,1629912869
Mitsamiouli,-11.3847,43.2844,24.16,78,20,2.06,KM,1629912869
Ponta Delgada,37.7333,-25.6667,23.4,60,20,8.75,PT,1629912869
Dudinka,69.4058,86.1778,6.14,93,100,5.57,RU,1629912870
Pori,61.4833,21.7833,13.04,94,20,2.57,FI,1629912870
San Ramon,37.7799,-121.978,22.12,76,1,2.24,US,1629912644
North Las Vegas,36.1989,-115.1175,36.38,13,1,2.06,US,1629912560
Muhafazat Lahij,13.1667,44.5833,32.56,42,36,3.05,YE,1629912870
Hermanus,-34.4187,19.2345,14.39,82,0,3.76,ZA,1629912871
Jamestown,42.097,-79.2353,31.21,63,1,1.34,US,1629912731
Pevek,69.7008,170.3133,1.41,97,100,7.98,RU,1629912871
Westport,41.1415,-73.3579,33.74,60,1,0.45,US,1629912663
Auki,-8.7676,160.7034,24.39,89,100,1.84,SB,1629912872
Florina,40.782,21.4098,23.57,59,54,1.56,GR,1629912872
Hofn,64.2539,-15.2082,13.01,100,90,2.57,IS,1629912872
Pangnirtung,66.1451,-65.7125,6.0,93,90,4.12,CA,1629912873
Čerčany,49.8529,14.703,19.98,62,2,1.91,CZ,1629912873
San Cristobal,7.7669,-72.225,29.1,53,92,3.49,VE,1629912873
Rikitea,-23.1203,-134.9692,21.54,68,12,3.41,PF,1629912874
Basco,20.4487,121.9702,28.78,73,10,4.66,PH,1629912874
San Rafael,-34.6177,-68.3301,17.14,13,22,2.69,AR,1629912875
Jaca,42.569,-0.5499,28.34,46,51,0.08,ES,1629912875
Cape Canaveral,28.4058,-80.6048,34.0,69,20,3.09,US,1629912875
Makakilo City,21.3469,-158.0858,24.27,76,1,2.06,US,1629912876
Aktobe,50.2797,57.2072,27.05,19,0,1.0,KZ,1629912876
Hilo,19.7297,-155.09,24.6,82,75,3.09,US,1629912778
Ponta do Sol,32.6667,-17.1,27.23,74,61,1.86,PT,1629912876
Saint George,37.1041,-113.5841,35.26,19,2,1.79,US,1629912626
